#,Project,Tracker,Status,Priority,Subject,Assignee,Updated
22544,QA31-2023,Ошибка,Новая,Нормальный,"Нет возможности кликнуть на ссылку ""Как оплачивать через платежные сервисы Приват"" в ""Оплата на розрахунковий рахунок""",Svitlana Liashenko,03/16/2024 01:28 AM
22543,QA31-2023,Ошибка,Новая,Высокий,"Отслеживание цены не работает только при введении номера телефона, без введения электронной почты",Svitlana Liashenko,03/16/2024 01:19 AM
22542,QA31-2023,Ошибка,Новая,Высокий,"Цифра количества товаров, добавленных в Блокнот (список понравившегося) то появляется, то пропадает при просмотре категорий каталога товаров",Svitlana Liashenko,03/15/2024 11:59 PM
22541,QA31-2023,Ошибка,Новая,Высокий,"Битая ссылка на чат-бот ""Viber"" в ""Контакти""",Svitlana Liashenko,03/15/2024 11:44 PM
22540,QA31-2023,Ошибка,Новая,Высокий,Сбой работы счетчика корзины при введении отрицательного количества товаров,Svitlana Liashenko,03/15/2024 11:29 PM
22539,QA31-2023,Ошибка,Новая,Нормальный,"Форма регистрации нового пользователя отображается частично на украинском, частично на русском языках в украинской локализации",Svitlana Liashenko,03/15/2024 11:16 PM
22538,QA31-2023,Ошибка,Новая,Нормальный,Детальная информация о гарантийных обязательствах отображается на русском языке в украинской локализации,Svitlana Liashenko,03/15/2024 10:58 PM
22537,QA31-2023,Ошибка,Новая,Нормальный,"Название подраздела ""Програма релодінгу"" и его содержимое на украинском языке в русской локализации сайта",Svitlana Liashenko,03/15/2024 10:44 PM
22535,QA31-2023,Ошибка,Новая,Низкий,Опечатка в заголовке новости за 12 февраля в русской локализации,Svitlana Liashenko,03/15/2024 10:33 PM
22534,QA31-2023,Ошибка,Новая,Нормальный,Текст слайдера отображается на украинском языке на главной странице при русской локализации,Svitlana Liashenko,03/15/2024 10:24 PM
